,Price,Manufacturer,Prod_year,Category,Leather_interior,Fuel_type,Engine_Volume,HasTurbo,Mileage,Cylinders,Gear_box_type,Drive_wheels,Doors,Wheel,Color,Airbags,aic_resid,bic_resid,r2a_resid,press_resid,cv_resid
5954,392,MERCEDES-BENZ,2017,Sedan,Yes,Petrol,2.0,0,1600,4.0,Automatic,Rear,4,Left wheel,Black,12,-17465.5235082446,-15873.336142410868,-17465.5235082446,-20580.009655775502,-17977.438286045817
16454,1725,MERCEDES-BENZ,2011,Jeep,Yes,Petrol,4.6,0,217485,8.0,Automatic,4x4,4,Left wheel,Silver,12,-20603.795848734124,-13850.589090914278,-20603.795848734124,-16543.480415656697,-19988.345161775505
11020,49751,HYUNDAI,2017,Sedan,Yes,Petrol,2.0,0,43178,4.0,Automatic,Front,4,Left wheel,White,4,23889.411264615712,26662.930531385715,23889.411264615712,21272.547999596223,24071.839364429456
8359,18817,VOLKSWAGEN,2008,Sedan,Yes,Petrol,3.2,0,138000,6.0,Tiptronic,4x4,4,Left wheel,Black,12,9484.076641012198,-18.257039897347568,9484.076641012198,5059.159646097571,9363.92664402855
14976,34497,KIA,2017,Sedan,Yes,Petrol,2.4,0,30000,4.0,Tiptronic,Front,4,Left wheel,White,0,1768.385825880483,-4539.098260107421,1768.385825880483,1848.536607567221,2544.3456794376143
3014,20071,HYUNDAI,2013,Sedan,Yes,Petrol,1.8,0,123200,4.0,Automatic,Front,4,Left wheel,Grey,6,2357.0678174351124,4719.015100625516,2357.0678174351124,-180.7449086960405,2084.555129635657
10978,90,TOYOTA,2012,Sedan,No,Petrol,2.5,0,0,4.0,Automatic,Front,4,Left wheel,Black,0,-21969.898343008063,-21032.43151694192,-21969.898343008063,-21650.294616762083,-21282.438050238077
15571,18817,TOYOTA,2013,Sedan,No,Hybrid,1.8,0,130000,6.0,Automatic,Front,4,Left wheel,Silver,12,9845.115971894535,12484.555307083874,9845.115971894535,5354.892065600492,7866.305804493291
18912,45473,MERCEDES-BENZ,2014,Minivan,Yes,Diesel,2.2,1,173000,4.0,Manual,Rear,4,Left wheel,Black,6,5009.05727727637,8181.300228231841,5009.05727727637,6163.738481077366,5079.658067842058
16453,16599,HYUNDAI,2011,Sedan,Yes,Petrol,2.0,0,179352,4.0,Automatic,Front,4,Left wheel,Black,4,-184.89361139250468,1692.1336149842937,-184.89361139250468,-4646.410021024756,-98.01781267208571
17306,6899,SUZUKI,2001,Jeep,No,CNG,2.7,0,170000,6.0,Automatic,4x4,4,Left wheel,Golden,8,-1459.2880268518802,2894.23046934964,-1459.2880268518802,1061.542990940623,-2058.360849704788
4577,10986,CHEVROLET,2011,Sedan,Yes,Diesel,2.0,0,202420,4.0,Automatic,Front,4,Left wheel,White,4,1461.323382409846,-10406.715907496178,1461.323382409846,1197.6527556842193,1566.614678330705
11153,16151,HYUNDAI,2011,Jeep,Yes,Diesel,2.0,0,53463,4.0,Automatic,Front,4,Left wheel,Grey,4,-8911.586438551083,-5241.715907496178,-8911.586438551083,-3051.981950141955,-8998.159293725636
8165,25089,HYUNDAI,2014,Sedan,Yes,Petrol,3.3,0,50000,4.0,Automatic,4x4,4,Left wheel,Black,6,6900.150989248104,4051.487388684862,6900.150989248104,1277.7259543105029,8704.776538800026
3077,1490,LEXUS,2013,Jeep,Yes,Petrol,4.6,0,154115,8.0,Automatic,4x4,4,Left wheel,Black,0,-27969.864523560307,-27046.756774752263,-27969.864523560307,-27143.91544727236,-27719.069770844442
8178,40,HONDA,2004,Hatchback,No,Petrol,1.3,0,229000,4.0,Automatic,Front,4,Right-hand drive,Blue,2,-4457.011764727193,-5010.882315520244,-4457.011764727193,-1285.2589593445882,-4080.0454181074856
12093,23207,NISSAN,2017,Jeep,No,Petrol,1.6,1,54000,4.0,Tiptronic,Front,4,Left wheel,Black,10,-11861.855135086284,-12465.18253575913,-11861.855135086284,-9105.240907683503,-11978.24355350279
19097,7213,LAND ROVER,1997,Jeep,Yes,Diesel,2.5,1,111111,6.0,Manual,4x4,4,Left wheel,Black,12,-24244.290211299092,-2645.973146521128,-24244.290211299092,-25474.290823177435,-24648.867728416888
3200,188,LEXUS,2011,Jeep,Yes,Hybrid,3.5,0,101816,6.0,Automatic,4x4,4,Left wheel,Black,12,-5776.882393146258,-8315.636711680718,-5776.882393146258,-9217.348410029896,-5976.117287676397
15191,17885,HYUNDAI,2010,Sedan,Yes,Petrol,1.6,0,85576,4.0,Automatic,Front,4,Left wheel,Silver,4,3294.259735048301,5494.199159497184,3294.259735048301,321.0736145605333,2685.005991144557
7074,5331,CITROEN,2005,Sedan,No,Petrol,1.4,0,210000,4.0,Manual,Front,4,Left wheel,Beige,4,558.2086360507592,-5134.101233048848,558.2086360507592,-1182.4991789511405,236.9389217770522
115,11917,MERCEDES-BENZ,2003,Sedan,Yes,Petrol,5.0,0,150000,12.0,Tiptronic,Rear,4,Right-hand drive,White,12,-11232.067503379003,-5286.9804411742625,-11232.067503379003,-12739.329582683742,-11600.56154089704
484,28830,HYUNDAI,2015,Sedan,Yes,Petrol,1.6,0,68243,4.0,Automatic,Front,4,Left wheel,Silver,4,6674.5137983884815,9621.529923165032,6674.5137983884815,3680.5682840053923,6144.886972062275
6369,32929,MERCEDES-BENZ,2012,Sedan,Yes,Petrol,1.8,1,99000,4.0,Automatic,Rear,4,Left wheel,Red,12,13458.983484303782,16588.034614645607,13458.983484303782,14127.218561734073,12820.58885412545
18884,29793,MERCEDES-BENZ,2006,Sedan,Yes,Petrol,6.3,0,94000,8.0,Tiptronic,Rear,4,Left wheel,Black,12,5082.337511928097,4752.69000097545,5082.337511928097,6487.487873787526,8828.849933890713
5207,30734,LEXUS,2009,Jeep,Yes,Petrol,4.7,0,264339,8.0,Automatic,4x4,4,Left wheel,Black,0,7155.881185990333,7363.245690001841,7155.881185990333,8168.488817171659,7513.025444421197
936,10349,MERCEDES-BENZ,2000,Microbus,No,Petrol,3.2,0,100000,6.0,Manual,Rear,4,Left wheel,White,1,-4276.912764039962,-1043.3496316520504,-4276.912764039962,-4607.015442034695,-3947.848165523188
1261,50767,FORD,2011,Jeep,Yes,Petrol,3.5,0,100741,4.0,Automatic,Front,4,Left wheel,Black,4,26477.34417752262,31538.13975031007,26477.34417752262,34081.60815966502,28736.97104766172
17139,314,TOYOTA,2011,Sedan,Yes,Petrol,2.5,0,211810,4.0,Automatic,Front,4,Left wheel,Red,12,-9698.40281205334,-9210.797680370362,-9698.40281205334,-3888.509018745739,-9333.690946778068
8085,8467,NISSAN,2007,Sedan,No,Petrol,1.5,0,133000,4.0,Variator,Front,4,Right-hand drive,Grey,4,3085.2549375171375,-6354.135008761048,3085.2549375171375,1894.7077962816693,3465.3582653817584
12959,11917,FORD,1998,Microbus,No,Diesel,2.5,1,0,6.0,Manual,Rear,>5,Left wheel,White,2,-7131.289967040917,-7833.923651541827,-7131.289967040917,-10768.175149925984,-8076.702761854875
1147,7840,MITSUBISHI,1992,Jeep,No,Petrol,3.0,0,123000,6.0,Manual,4x4,2,Left wheel,Silver,0,5342.41136031593,7079.345329327192,5342.41136031593,4501.337438331917,5481.252502633768
12268,27000,MERCEDES-BENZ,2003,Microbus,No,Diesel,2.7,1,230000,5.0,Manual,Rear,4,Left wheel,White,1,-1126.529167474353,-997.7004022726323,-1126.529167474353,-372.91427594656125,-767.0041568519191
10049,15681,HYUNDAI,2016,Sedan,Yes,LPG,2.0,0,265917,4.0,Automatic,Front,4,Left wheel,Silver,4,-3293.916579852379,-2676.130244425087,-3293.916579852379,-10985.532782105729,-3247.9283763216954
13190,4000,UAZ,1987,Jeep,No,Petrol,2.9,0,120000,4.0,Manual,4x4,4,Left wheel,Blue,9,9888.296311649392,18020.7224819498,9888.296311649392,14400.857158955652,10292.554726552813
8239,8154,MERCEDES-BENZ,2003,Goods wagon,No,Diesel,2.2,1,395000,4.0,Manual,Front,4,Left wheel,White,2,-11145.672426167515,-17550.19411493913,-11145.672426167515,-16085.329757607542,-10515.14626550076
7716,17562,TOYOTA,2013,Sedan,Yes,Petrol,2.5,0,90000,4.0,Automatic,Front,4,Left wheel,Carnelian red,12,4523.698813282732,5310.1346250967745,4523.698813282732,2683.994559106417,4920.261445589113
385,8624,DAEWOO,2009,Sedan,Yes,Petrol,2.0,0,19999,4.0,Automatic,Front,4,Left wheel,Grey,4,2055.6283110176164,-3555.7986904828467,2055.6283110176164,1966.4831922422163,2444.855687035234
12572,27284,FORD,2014,Sedan,Yes,Hybrid,2.0,0,138000,4.0,Tiptronic,Front,4,Left wheel,Black,12,9190.87258655415,7627.62518004925,9190.87258655415,3530.9071843679994,9072.7728741539
5843,17249,TOYOTA,2013,Hatchback,No,Hybrid,1.5,0,79000,4.0,Automatic,Front,4,Left wheel,Grey,8,6123.799543744115,8369.58741691701,6123.799543744115,3975.789082683157,5641.414964389156
5734,15367,HYUNDAI,2015,Sedan,Yes,Petrol,2.4,0,170000,4.0,Tiptronic,Front,4,Left wheel,Brown,10,-13877.09058366995,-12413.61390782029,-13877.09058366995,-17668.230235456955,-13134.087783172567
960,9418,HYUNDAI,2015,Sedan,Yes,LPG,2.0,0,42875,4.0,Automatic,Front,4,Left wheel,White,4,-8043.967392520415,-7575.596397158657,-8043.967392520415,-16026.249868181534,-8013.904572505518
7983,31361,MERCEDES-BENZ,2014,Sedan,Yes,Petrol,1.8,1,150000,4.0,Automatic,Rear,4,Left wheel,Silver,12,8865.085109639855,12292.966920112747,8865.085109639855,7098.215544947423,8258.541246492634
1599,15053,TOYOTA,2011,Hatchback,No,Hybrid,1.8,0,14900,4.0,Automatic,Front,4,Left wheel,Silver,10,8199.302523013534,9741.939670065884,8199.302523013534,6921.384887164924,8144.083121962536
13846,76835,LAND ROVER,2015,Jeep,Yes,Diesel,3.0,1,91000,6.0,Tiptronic,4x4,4,Left wheel,White,12,13019.814849326911,35075.85802748151,13019.814849326911,15177.076905866154,13181.387463993313
8180,15681,LEXUS,2010,Jeep,Yes,Petrol,4.6,0,275240,8.0,Automatic,4x4,4,Left wheel,Silver,0,-9240.016961564419,-8765.155232952973,-9240.016961564419,-6237.229679465294,-9036.998359395446
3242,9364,CHEVROLET,2015,Hatchback,Yes,Petrol,1.0,0,53711,4.0,Automatic,Front,4,Left wheel,White,4,-4666.213075696676,-8115.672530965276,-4666.213075696676,-6492.7515087598,-5569.171880436144
11723,16358,JEEP,2009,Jeep,Yes,Petrol,2.4,0,167510,4.0,Automatic,Front,4,Left wheel,Red,4,-1455.9773872234327,3025.6696122706962,-1455.9773872234327,2850.2512512914836,-1643.102307990208
13798,13799,KIA,2013,Sedan,No,Petrol,2.4,0,104680,4.0,Automatic,Front,4,Left wheel,Silver,0,-1882.3481891395368,-8398.832439896734,-1882.3481891395368,-1544.9525400218554,-1235.7227002402178
10342,8500,HYUNDAI,2006,Hatchback,No,Diesel,1.5,1,199973,4.0,Manual,Front,4,Right-hand drive,Silver,6,-17688.96482978642,-15866.498523455408,-17688.96482978642,-16667.41186972987,-16329.981211903927
1321,9408,FORD,2009,Goods wagon,No,Diesel,1.6,1,230000,6.0,Manual,Front,4,Left wheel,Blue,0,-20706.285736784197,-24454.28298421888,-20706.285736784197,-25463.6420854507,-22545.071841642217
15443,33243,LEXUS,2014,Hatchback,Yes,Hybrid,1.8,0,157000,4.0,Automatic,Front,4,Left wheel,Grey,12,29576.416452557718,25547.021459817443,29576.416452557718,25610.506325530354,28905.030823508492
6760,24775,TOYOTA,2011,Jeep,No,Petrol,2.5,0,105600,4.0,Automatic,4x4,4,Left wheel,White,4,4641.33346110307,8427.46899342622,4641.33346110307,10392.24921397306,4743.957590602324
2495,282,LEXUS,2008,Jeep,Yes,Petrol,4.7,0,218126,8.0,Automatic,4x4,4,Left wheel,Black,0,-21783.169626677703,-21725.22046273173,-21783.169626677703,-20766.410116717685,-21441.950751762626
2393,549,HYUNDAI,2017,Sedan,Yes,Petrol,2.0,0,87357,4.0,Automatic,Front,4,Left wheel,Blue,12,-18289.55783963578,-15716.336142410868,-18289.55783963578,-18376.000313676894,-18311.6784358083
12454,47217,HYUNDAI,2015,Jeep,Yes,Diesel,2.0,0,108177,4.0,Automatic,Front,4,Left wheel,Black,4,16102.616812121061,20370.148703438103,16102.616812121061,19903.185714531224,16079.745491008729
4600,12522,HYUNDAI,2010,Minivan,Yes,Diesel,2.5,0,134990,4.0,Automatic,Front,4,Left wheel,Yellow,4,-8898.835257250354,-8947.846681787818,-8898.835257250354,-6466.320583509747,-8770.495471522227
9438,25889,HYUNDAI,2010,Jeep,Yes,Diesel,2.0,0,94131,4.0,Automatic,Front,4,Left wheel,Blue,4,2339.3627487808735,5859.817939770255,2339.3627487808735,9641.950454427395,2236.864510091007
8008,42171,HYUNDAI,2014,Jeep,Yes,Diesel,2.0,0,177523,4.0,Automatic,Front,4,Left wheel,White,4,12569.565999453025,16687.682550704532,12569.565999453025,18243.851197929587,12530.769294825372
8440,19757,MITSUBISHI,2002,Minivan,No,Petrol,3.0,0,176000,6.0,Automatic,4x4,4,Right-hand drive,Silver,1,12707.770408959195,11682.083999939732,12707.770408959195,9700.509099646471,12812.139154739285
9066,14166,HYUNDAI,2013,Sedan,Yes,Petrol,2.0,0,206088,4.0,Automatic,Front,4,Left wheel,White,4,-5643.7919860564325,-3467.934079548566,-5643.7919860564325,-8244.047735959757,-5525.065420304905
10168,549,TOYOTA,2010,Sedan,Yes,Petrol,1.8,0,305237,4.0,Automatic,Front,4,Left wheel,Silver,12,-6760.096346280902,-5595.333362922627,-6760.096346280902,-4563.208837199025,-7601.667142961892
9814,17249,TOYOTA,2011,Hatchback,No,Hybrid,1.8,0,145000,4.0,Automatic,Front,4,Left wheel,White,12,12151.06024695066,13643.623001616737,12151.06024695066,10808.005908646155,12044.703671903098
5916,7527,HYUNDAI,2012,Sedan,Yes,LPG,2.0,0,453075,4.0,Automatic,Front,4,Left wheel,Silver,4,-5396.119830524531,-5375.994855359368,-5396.119830524531,-13071.12851766171,-5413.833161056056
18548,18616,CHEVROLET,2012,Jeep,Yes,Diesel,1.0,0,164745,4.0,Automatic,Front,4,Left wheel,Grey,4,2591.8538059517923,-1258.9205116464545,2591.8538059517923,7483.415343168657,1035.4763986761536
11608,7919,TOYOTA,2012,Hatchback,Yes,Hybrid,1.5,0,163312,4.0,Automatic,Front,4,Left wheel,Silver,4,-5204.7667167981745,-3008.2453989182686,-5204.7667167981745,-8169.167664094362,-5600.80233167579
11662,9408,MITSUBISHI,2003,Jeep,No,Petrol,2.0,0,180000,4.0,Automatic,4x4,4,Left wheel,White,4,4794.869059653566,5409.404393115734,4794.869059653566,4007.703850931488,4141.820435190094
6788,46101,TOYOTA,2019,Sedan,Yes,Petrol,2.5,0,25816,4.0,Automatic,Front,4,Left wheel,Black,12,23985.003689290956,25667.931541498194,23985.003689290956,25170.498998327646,24477.118622690654
16218,9565,HYUNDAI,2019,Jeep,Yes,Petrol,2.4,0,1446,4.0,Automatic,Front,4,Left wheel,Black,12,-19666.691160306742,-10579.93553419019,-19666.691160306742,-15875.4618552397,-18953.840519279023
6962,26030,MERCEDES-BENZ,2012,Sedan,Yes,Petrol,3.0,1,160000,6.0,Tiptronic,4x4,4,Left wheel,Black,12,-6322.749824847146,-5152.690908238739,-6322.749824847146,-12102.849226952065,-6604.114165227475
13027,45160,KIA,2016,Jeep,Yes,Diesel,2.0,0,28221,4.0,Automatic,Front,4,Left wheel,Black,4,20852.83102868909,16949.614856171673,20852.83102868909,26588.10607536463,20591.305507138357
344,25591,HYUNDAI,2014,Sedan,Yes,Petrol,1.6,0,140000,4.0,Automatic,Front,4,Left wheel,White,4,4948.462985720445,7746.063770431461,4948.462985720445,1663.8511979295872,4402.910775878918
13106,35,TOYOTA,2007,Hatchback,No,CNG,1.5,0,220000,4.0,Automatic,Front,4,Left wheel,White,4,-15236.166830937535,-12104.744185611267,-15236.166830937535,-8279.34652158292,-16158.062706352226
11897,10192,HYUNDAI,2012,Hatchback,Yes,Diesel,1.6,0,52352,4.0,Automatic,Front,4,Left wheel,Black,4,-10762.212826687177,-11411.718057516144,-10762.212826687177,-12570.511087135877,-11103.786970420755
9626,22567,CHEVROLET,2014,Sedan,Yes,Diesel,2.0,0,159436,4.0,Automatic,Front,4,Left wheel,Black,4,8503.475820413954,-2916.3174492954677,8503.475820413954,6357.785140064079,8656.543266881708
11176,27924,HYUNDAI,2014,Minivan,Yes,Diesel,2.5,0,174485,4.0,Automatic,Front,4,Left wheel,Silver,4,451.367993421798,1000.0179291464592,451.367993421798,4291.669350116514,643.4093132121343
5170,16465,BMW,2008,Sedan,Yes,Petrol,3.0,1,97800,6.0,Manual,Rear,4,Left wheel,Black,8,-9905.405633880451,-6759.027228631174,-9905.405633880451,-13673.10453955736,-8971.855582744545
8496,188,ACURA,2010,Sedan,Yes,Petrol,2.4,0,0,4.0,Automatic,Front,4,Left wheel,Grey,12,6418.6999303371595,-7685.130908792316,6418.6999303371595,3045.2644766201265,6155.7545928901345
13062,9879,TOYOTA,2018,Sedan,Yes,Petrol,2.5,0,44845,4.0,Automatic,Front,4,Left wheel,Brown,12,-10724.04712337708,-9190.534611235376,-10724.04712337708,-10753.978934917133,-10247.85757349317
5826,3450,TOYOTA,2019,Sedan,Yes,Hybrid,2.5,0,9626,4.0,Automatic,Front,4,Left wheel,Black,12,-13195.978383334354,-13080.578246696012,-13195.978383334354,-17480.501001672354,-12416.768409911328
6020,9408,BMW,1997,Sedan,No,Petrol,2.0,0,25000,6.0,Manual,Rear,4,Left wheel,White,2,5630.613676397723,6416.688667662048,5630.613676397723,2360.8486151732504,4548.636488325528
13735,12701,KIA,2013,Sedan,Yes,Petrol,2.0,0,51201,4.0,Automatic,Front,4,Left wheel,White,4,1211.3714178435584,-4932.934079548566,1211.3714178435584,549.9736909847707,1075.5183996409032
14104,1568,MERCEDES-BENZ,2011,Coupe,Yes,Diesel,3.5,0,226251,6.0,Automatic,Rear,2,Left wheel,Black,12,-13111.51506424454,-17323.976445966986,-13111.51506424454,-14326.044230389409,-12815.8474041527
3011,29633,HYUNDAI,2016,Jeep,Yes,Diesel,2.0,0,27243,4.0,Automatic,Front,4,Left wheel,Grey,4,-2994.3323752109027,1422.6148561716727,-2994.3323752109027,2844.512719302904,-3001.278312807448
17836,18826,HYUNDAI,2011,Sedan,Yes,Petrol,1.6,0,87210,4.0,Automatic,Front,4,Left wheel,Silver,4,2722.310547716337,5071.665312230754,2722.310547716337,-255.027451550588,2128.9821873279143
18890,17249,BMW,2005,Jeep,Yes,Petrol,4.4,0,117000,6.0,Automatic,4x4,4,Left wheel,Silver,12,8846.774374047,10430.87984130753,8846.774374047,14729.69711606158,10827.156392018696
5272,19757,HYUNDAI,2014,Coupe,Yes,Petrol,1.6,1,96000,4.0,Manual,Front,2,Left wheel,Black,6,-14531.336177017605,-9320.052703417994,-14531.336177017605,-20729.422694434412,-14177.536946549968
18653,26149,HYUNDAI,2013,Sedan,Yes,Petrol,1.6,0,56746,4.0,Automatic,Front,4,Left wheel,White,4,7019.412173052409,9667.597617697891,7019.412173052409,3738.952264040243,6457.934579695095
4884,44843,HYUNDAI,2016,Universal,Yes,Diesel,2.5,0,110846,4.0,Automatic,Front,4,Left wheel,Grey,4,9335.043640002004,15191.950234613596,9335.043640002004,18054.512719302904,9840.46330898394
16978,5645,MERCEDES-BENZ,1997,Sedan,No,Diesel,2.2,0,296376,4.0,Manual,Rear,4,Left wheel,Black,4,2370.7503556918336,-2702.7433718907996,2370.7503556918336,630.611962523777,2525.0085191428534
8957,56136,MERCEDES-BENZ,2017,Sedan,Yes,Petrol,2.0,0,50963,4.0,Automatic,Rear,4,Left wheel,Black,12,38278.4764917554,39870.663857589134,38278.4764917554,35163.9903442245,37766.56171395419
17403,12544,TOYOTA,2001,Minivan,No,Petrol,3.4,0,250000,6.0,Automatic,4x4,4,Right-hand drive,White,2,4638.707398142136,5532.927815735131,4638.707398142136,7856.865492333658,5159.800819469716
11436,65858,MERCEDES-BENZ,2014,Minivan,Yes,Diesel,2.2,0,120000,6.0,Manual,Rear,4,Left wheel,Black,4,30561.68252980173,34330.181224579894,30561.68252980173,30288.030011483002,28918.060788318675
5620,3136,TOYOTA,2012,Sedan,Yes,Hybrid,2.5,0,268683,4.0,Automatic,Front,4,Left wheel,Blue,12,-2919.3340720106144,-3849.8413158310013,-2919.3340720106144,-3693.534129554406,-2251.6017831966938
16735,45044,SSANGYONG,2015,Jeep,Yes,Diesel,2.0,0,102118,4.0,Automatic,Front,4,Left wheel,Blue,4,11374.155695339468,18197.148703438103,11374.155695339468,13539.545094618108,11531.191204038907
1962,7213,NISSAN,2013,Jeep,Yes,Petrol,1.6,0,312118,4.0,Automatic,Front,4,Left wheel,Black,0,-10070.03674612609,-12679.769045403817,-10070.03674612609,-8976.551437003538,-10353.322803972416
11603,5802,MERCEDES-BENZ,2013,Sedan,Yes,Diesel,3.5,0,107800,6.0,Automatic,Rear,4,Left wheel,Grey,12,-12740.112443038652,-15817.044140499846,-12740.112443038652,-11340.907183459029,-12433.438684489658
13246,15367,TOYOTA,2012,Hatchback,No,Hybrid,1.8,0,300000,4.0,Automatic,Front,4,Left wheel,Silver,0,-1778.4352840040592,163.9891650451791,-1778.4352840040592,-4208.912047287915,-1562.043431556911
3999,6272,BMW,1999,Sedan,No,Petrol,2.0,0,300000,6.0,Manual,Rear,4,Left wheel,Black,6,2980.23074960805,3964.987636230896,2980.23074960805,-1708.0395869994536,1827.8299805738316
16543,10349,TOYOTA,1997,Jeep,No,LPG,2.7,0,218000,4.0,Automatic,4x4,2,Right-hand drive,Blue,2,14674.485248458941,14176.399051904926,14674.485248458941,17880.783503572457,15912.53308027417
11235,7683,HYUNDAI,2016,Sedan,Yes,Petrol,1.8,0,121840,4.0,Automatic,Front,4,Left wheel,Blue,12,-9302.506572749393,-6642.53644652121,-9302.506572749393,-9724.899247565772,-9680.654631991656
17576,19444,HYUNDAI,2015,Sedan,No,Petrol,2.0,0,95000,4.0,Tiptronic,Rear,4,Left wheel,Blue,12,-6522.637195851952,-5478.398879022974,-6522.637195851952,-6421.818688948639,-6723.424014448901
16126,34845,AUDI,2003,Sedan,Yes,Petrol,3.7,0,170000,8.0,Tiptronic,4x4,4,Left wheel,Black,8,29593.543536551817,17975.38091177502,29593.543536551817,26303.48375559924,28874.90846104405
8103,7213,HONDA,2011,Hatchback,Yes,Hybrid,1.3,0,195030,4.0,Variator,Front,4,Left wheel,Black,6,-6438.123415700196,-6877.831005846891,-6438.123415700196,-12290.81830187235,-6885.9839683086175
18716,11290,TOYOTA,2012,Sedan,No,Hybrid,1.5,0,100000,4.0,Tiptronic,Front,4,Left wheel,Black,12,-4060.2929098906316,-4198.642503859815,-4060.2929098906316,-8995.814046388958,-5027.438188253222
14838,3763,TOYOTA,2014,Jeep,Yes,Petrol,2.7,0,64994,4.0,Automatic,Rear,4,Left wheel,Grey,12,-16973.89173572982,-10428.665070792887,-16973.89173572982,-7539.567600234412,-16410.833615282336
438,19369,HYUNDAI,2011,Coupe,Yes,Petrol,2.0,0,153651,4.0,Automatic,Front,4,Left wheel,Red,4,3421.8053927376786,4462.133614984294,3421.8053927376786,2714.773433013819,3529.5258600315865
14439,11604,HYUNDAI,2014,Sedan,Yes,LPG,2.0,0,346470,4.0,Automatic,Front,4,Left wheel,Silver,4,-4345.0182051884585,-4026.0625498922273,-4345.0182051884585,-12028.330649883486,-4330.880768688876
5503,220,LEXUS,2010,Jeep,Yes,Hybrid,3.5,0,317470,6.0,Automatic,4x4,4,Left wheel,Grey,12,-4231.9332058142945,-6920.102864414288,-4231.9332058142945,-5625.819273035973,-4447.09348386022
4226,8634,KIA,2013,Sedan,Yes,Petrol,2.0,0,47232,4.0,Automatic,Front,4,Left wheel,Silver,4,-2855.6285821564416,-8999.934079548566,-2855.6285821564416,-3222.208156828303,-2991.481600359097
15141,7840,FORD,2003,Microbus,No,Diesel,2.0,0,330000,4.0,Manual,Front,4,Left wheel,White,0,-8408.730862654616,-11524.047269967854,-8408.730862654616,-5252.540250744205,-8682.325062255502
17141,94083,BMW,2015,Jeep,Yes,Diesel,3.0,1,95000,6.0,Tiptronic,4x4,4,Left wheel,Black,12,50827.52475802995,52323.85802748151,50827.52475802995,53763.68884675624,50748.963064671414
18623,43868,SSANGYONG,2016,Jeep,Yes,Petrol,1.6,0,26000,4.0,Automatic,Front,4,Left wheel,Blue,4,10957.072707376734,23295.9960758986,10957.072707376734,10846.444028506987,10646.194405437906
10369,470,CHEVROLET,2017,Jeep,Yes,Petrol,1.4,0,145896,4.0,Automatic,Front,4,Left wheel,White,12,-15184.403353807975,-14066.538596541179,-15184.403353807975,-10479.196946308482,-15989.133415427776
9675,12544,FORD,2009,Goods wagon,No,Diesel,1.8,1,20462,4.0,Manual,Front,4,Left wheel,White,4,-11804.91432126101,-18483.182169740398,-11804.91432126101,-15686.728867157362,-11933.762133267257
